SINO,JOb_Title,Position,Company,Location,State,Address
0,Data Scientist,Contractor,"Pyramid Consulting, Inc","St. Louis, MO


View 1 more",MO,"St.Louis,View1more"
1,Data Scientist,Full-Time,Kimberly Clark,"Neenah, WI",WI,"Neenah,"
2,Data Scientist,Full-Time,HireNetworks,"Lexington, SC",SC,"Lexington,"
3,Data Scientist,Contractor,ICONMA,"Chesterfield, MO",MO,"Chesterfield,"
4,Data Scientist,Contractor,Bartech Group,"Irving, TX


View 1 more",TX,"Chesterfield,Irving,View1more"
5,Data Scientist,Full-Time | Pay: $150k - $175k/year,CyberCoders,"Palo Alto, CA


View 21 more",21,"Chesterfield,Irving,View1morePaloAlto,Viewmore"
6,Data Scientist,Full-Time,"MISource, Inc","Tampa, FL",FL,"Tampa,"
7,Data Scientist,Contractor,IDR,"Dallas, TX


View 2 more",TX,"Tampa,Dallas,View2more"
8,Data Scientist,Full-Time,Robert Half Technology,"New York, NY


View 8 more",NY,"Tampa,Dallas,View2moreNewYork,View8more"
9,Data Scientist,Full-Time,Jackson Lewis P.C.,"58 South Service Road

Melville, NY",NY,"Tampa,Dallas,View2moreNewYork,View8moreSouthServiceRoadMelville,"
10,Data Scientist,Contractor,Confidential,"Burbank, CA",CA,"Burbank,"
11,Data Scientist,Full-Time,Principle Solutions Group,"Atlanta, GA


View 1 more",GA,"Burbank,Atlanta,View1more"
12,Data Scientist,Full-Time | Pay: $95k - $100k/year,Resultz,"Atlanta, SC",SC,"Atlanta,"
13,Data Scientist,Full-Time | Pay: $120k - $160k/year,Frank Recruitment Group,"Cambridge, MA


View 5 more",MA,"Atlanta,Cambridge,View5more"
14,Data Scientist - Predictive Analytics,Full-Time | Pay: $110k - $130k/year,Emerald Resource Group,"Broadview Heights, OH",OH,"BroadviewHeights,"
15,Data Scientist,Full-Time,Principle Solutions Group,"Atlanta, GA",GA,"Atlanta,"
16,Data Scientist,Full-Time | Pay: $0 - $1k/year,Signature Consultants,"Miami, FL",FL,"Miami,"
17,Data Scientist,Full-Time,Strategic Operational Solutions Inc.,"Vienna, VA",VA,"Vienna,"
18,Data Scientist,Full-Time,"Pendo.io, Inc.","Raleigh, NC",NC,"Raleigh,"
19,Data Scientist,Full-Time,Softworld Inc.,"Westwood, MA",MA,"Westwood,"
20,Data Scientist,Full-Time,Vencore,"Hanover, MD


View 5 more",MD,"Westwood,Hanover,View5more"
21,Data Scientist,Full-Time,Apex Systems,"Charlottesville, VA


View 8 more",VA,"Westwood,Hanover,View5moreCharlottesville,View8more"
22,Data Scientist / Statistician,Contractor,Confidential,"Alpharetta, GA",GA,"Alpharetta,"
23,Data Scientist,Full-Time,The Judge Group,"Irving, TX


View 2 more",TX,"Alpharetta,Irving,View2more"
24,Data Scientist,Full-Time,"Sears, Roebuck and Co","Miami, FL",FL,"Miami,"
25,Data Scientist,Full-Time,Stonebridge Consulting,"Tulsa, OK


View 2 more",OK,"Miami,Tulsa,View2more"
